order	season	zone	orderNumber	group	redCollegeName	redTeamName	blueCollegeName	blueTeamName	redSideWinGameCount	blueSideWinGameCount
1800	2021	中区	52	淘汰赛16进8	西北工业大学	WMJ	中国石油大学（华东）	RPS	1	2
1801	2021	中区	53	淘汰赛16进8	浙江纺织服装职业技术学院	Robofuture	中国人民解放军国防科技大学	军临	1	2
1802	2021	中区	54	淘汰赛16进8	东华大学	DIODE	杭州电子科技大学	PHOENIX	1	2
1803	2021	中区	55	淘汰赛16进8	安徽信息工程学院	Artisans	华中科技大学	狼牙	2	1
1804	2021	中区	56	淘汰赛16进8	浙江大学	Hello World	南京理工大学	Alliance	2	1
1805	2021	中区	57	总决赛名额争夺赛	太原工业学院	火线	同济大学	SuperPower	2	0
1806	2021	中区	58	总决赛名额争夺赛	中国矿业大学	CUBOT	西北工业大学	WMJ	0	2
1807	2021	中区	59	总决赛名额争夺赛	浙江纺织服装职业技术学院	Robofuture	东华大学	DIODE	2	0
1808	2021	中区	60	总决赛名额争夺赛	华中科技大学	狼牙	南京理工大学	Alliance	1	2
1809	2021	中区	61	淘汰赛8进4	上海工程技术大学	木鸢Birdiebot	上海交通大学	云汉交龙	0	2
1810	2021	中区	62	淘汰赛8进4	东南大学	3SE	中国石油大学（华东）	RPS	2	0
1811	2021	中区	63	淘汰赛8进4	中国人民解放军国防科技大学	军临	杭州电子科技大学	PHOENIX	2	0
1812	2021	中区	64	淘汰赛8进4	安徽信息工程学院	Artisans	浙江大学	Hello World	0	2
1813	2021	中区	65	总决赛名额争夺赛	太原工业学院	火线	西北工业大学	WMJ	0	2
1814	2021	中区	66	总决赛名额争夺赛	浙江纺织服装职业技术学院	Robofuture	南京理工大学	Alliance	2	0
1815	2021	中区	67	半决赛	上海交通大学	云汉交龙	东南大学	3SE	2	0
1816	2021	中区	68	半决赛	中国人民解放军国防科技大学	军临	浙江大学	Hello World	1	2
1817	2021	中区	69	总决赛名额争夺赛	太原工业学院	火线	南京理工大学	Alliance	0	2
1818	2021	中区	70	三四名决赛	东南大学	3SE	中国人民解放军国防科技大学	军临	0	3
1819	2021	中区	71	决赛	上海交通大学	云汉交龙	浙江大学	Hello World	3	0
1820	2021	总决赛	1	小组赛C	北京科技大学	Reborn	浙江大学	Hello World	0	2
1821	2021	总决赛	2	小组赛E	上海交通大学	云汉交龙	太原理工大学	TRoMaC	2	0
1822	2021	总决赛	3	小组赛F	大连交通大学	TOE	华南理工大学	普渡华南虎	0	2
1823	2021	总决赛	4	小组赛G	西北工业大学	纵维立方WMJ	哈尔滨工业大学	I Hiter	0	2
1824	2021	总决赛	5	小组赛A	南昌大学	Passion	哈尔滨工业大学（深圳）	南工骁鹰	0	2
1825	2021	总决赛	6	小组赛C	华南理工大学广州学院	野狼	安徽信息工程学院	Artisans	1	1
1826	2021	总决赛	7	小组赛D	上海工程技术大学	木鸢Birdiebot	深圳大学	RobotPilots	1	1
1827	2021	总决赛	8	小组赛F	哈尔滨工程大学	创梦之翼	哈尔滨工业大学（威海）	HERO	2	0
1828	2021	总决赛	9	小组赛H	杭州电子科技大学	PHOENIX	南方科技大学	ARTINX	0	2
